,Date,Price,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7
0,30-11-2016,3737.977,2728.177,2971.1835,2079.2105,1779.8949,2519.4459,4910.96,8767.2587
1,29-11-2016,3747.922,2751.722,2982.1383,2084.7049,1795.4482,2525.0559,4910.96,8748.914
2,28-11-2016,3742.924,2760.324,2969.1945,2087.6731,1792.6194,2530.6608,4938.16,8770.7012
3,25-11-2016,3762.695,2766.495,2921.0607,2088.0335,1749.1181,2524.3249,4965.36,8786.6132
4,23-11-2016,3748.024,2738.224,2922.8202,2082.5629,1743.9943,2517.9924,4938.16,8785.855
5,22-11-2016,3744.998,2721.598,2886.6051,2079.0643,1709.6475,2511.6667,4965.36,8820.5214
6,21-11-2016,3736.906,2727.106,2901.9357,2081.5038,1728.5651,2517.2648,4965.36,8818.7194
7,18-11-2016,3709.23,2713.03,2891.8071,2080.6181,1750.7841,2522.8578,4965.36,8835.0088
8,17-11-2016,3718.104,2708.304,2881.6785,2079.1357,1713.6102,2516.53975,4965.36,8842.0859
9,16-11-2016,3700.798,2677.398,2896.9479,2073.2044,1718.8853,2510.2217,4965.36,8856.3013
10,15-11-2016,3706.663,2669.663,2901.3084,2071.2103,1715.7641,2503.9096,4965.36,8851.1112
11,14-11-2016,3679.14,2628.54,2897.2998,2063.5348,1706.1965,2497.6043,4938.16,8865.2076
12,11-11-2016,3679.565,2615.365,2885.6412,2060.6125,1706.71075,2491.3041,4938.16,8871.0148
13,10-11-2016,3684.716,2634.116,2897.8047,2065.2977,1707.225,2496.892,4938.16,8857.0255
14,09-11-2016,3677.542,2640.542,2900.0385,2067.88,1716.0667,2502.4748,4938.16,8858.8054
15,08-11-2016,3637.252,2586.652,2901.8898,2058.0115,1711.0126,2496.1797,4965.36,8917.6356
16,07-11-2016,3623.584,2559.384,2890.6902,2052.6786,1695.9013,2489.8897,4965.36,8937.393
17,04-11-2016,3544.806,2494.206,2905.8066,2043.0192,1714.6727,2495.4674,4992.56,9023.2787
18,03-11-2016,3550.722,2513.722,2923.1568,2047.8217,1735.1696,2501.0383,5019.76,9023.6765
19,02-11-2016,3566.498,2515.898,2903.3739,2047.5123,1713.4385,2494.7534,5019.76,9017.0006
20,01-11-2016,3589.924,2552.924,2908.6371,2055.317,1724.6177,2500.3209,5046.96,9004.1112
21,31-10-2016,3614.455,2563.855,2873.4777,2056.5155,1691.0206,2494.0411,5046.96,8994.0999
22,28-10-2016,3614.897,2550.697,2867.9544,2053.5898,1680.2766,2487.7664,5046.96,8980.794
23,27-10-2016,3626.168,2575.568,2880.1638,2059.3222,1696.8125,2493.3271,5046.96,8977.6252
24,26-10-2016,3637.031,2584.17,2874.7935,2058.1866,1686.1875,2487.0575,5046.96,8970.8456
25,25-10-2016,3643.372,2592.772,2877.1956,2063.0775,1695.1584,2492.6131,5074.16,8976.051
26,24-10-2016,3657.261,2593.061,2913.0741,2062.4655,1716.3693,2486.3503,5101.36,8968.6883
27,21-10-2016,3639.972,2589.372,2929.5675,2063.2968,1736.2219,2491.8991,5074.16,8958.5257
28,20-10-2016,3640.278,2603.278,2943.5364,2067.1507,1754.1314,2497.4428,5074.16,8948.6487
29,19-10-2016,3645.293,2594.693,2940.2928,2065.0155,1745.152,2497.08325,5074.16,8946.947
30,18-10-2016,3637.32,2600.32,2919.1635,2067.4448,1735.9584,2496.7237,5074.16,8957.7828
31,17-10-2016,3615.05,2564.45,2922.2541,2060.6074,1731.8665,2490.4694,5074.16,8981.1306
32,14-10-2016,3626.066,2589.066,2930.103,2066.3058,1745.0534,2496.0029,5074.16,8962.6975
33,13-10-2016,3625.335,2574.735,2909.0961,2063.1812,1722.3465,2489.7554,5101.36,8990.0777
34,12-10-2016,3636.606,2599.606,2915.3844,2068.9272,1734.3264,2495.2821,5128.56,8988.9455
35,11-10-2016,3632.441,2609.041,2932.8417,2072.0093,1754.9406,2500.8054,5128.56,8982.2594
36,10-10-2016,3678.222,2641.222,2934.93015,2076.9274,1749.5516,2494.563,5128.56,8938.1444
37,07-10-2016,3661.358,2610.758,2937.0186,2071.0148,1745.2166,2488.324,5101.36,8939.1882
38,06-10-2016,3673.309,2609.109,2926.0026,2070.09,1730.2226,2482.0918,5101.36,8933.3487
39,05-10-2016,3671.541,2620.941,2956.6638,2073.5886,1761.0555,2487.6083,5128.56,8936.4988
40,04-10-2016,3655.833,2591.633,2898.0342,2067.8698,1709.2378,2481.3812,5128.56,8975.4101
41,03-10-2016,3674.04,2596.24,2898.2025,2068.033,1702.8883,2475.1592,5101.36,8942.3264
42,30-09-2016,3686.059,2621.859,2903.6952,2073.9252,1714.2579,2480.6706,5101.36,8923.7165
43,29-09-2016,3656.921,2606.321,2907.4743,2072.6689,1724.3015,2486.1769,5101.36,8946.8756
44,28-09-2016,3691.329,2627.129,2896.7796,2075.6541,1709.5472,2479.96,5128.56,8935.5043
45,27-09-2016,3671.881,2594.081,2891.5164,2069.2791,1698.9936,2473.7482,5128.56,8959.0374
46,26-09-2016,3648.37,2584.17,2878.9398,2068.9918,1696.3773,2479.2477,5128.56,8982.4804
47,23-09-2016,3679.973,2602.173,2863.7316,2071.4993,1678.121,2473.041,5128.56,8958.5733
48,22-09-2016,3701.206,2609.806,2857.6575,2072.2065,1666.935,2466.8394,5128.56,8941.7399
49,21-09-2016,3677.304,2599.504,2848.9824,2071.8461,1667.3311,2472.3355,5128.56,8964.1901
50,20-09-2016,3637.592,2573.392,2843.8875,2068.7215,1670.4999,2477.8248,5128.56,9001.1566
51,19-09-2016,3636.504,2585.904,2834.478,2072.334,1670.3248,2483.309,5128.56,9001.0733
52,16-09-2016,3636.572,2599.572,2831.0661,2076.1471,1674.7958,2488.7881,5128.56,8997.658
53,15-09-2016,3650.342,2601.7905,2820.0501,2082.3555,1673.3712,2494.2604,5155.76,9000.3134
54,14-09-2016,3613.809,2604.009,2826.7974,2079.7664,1685.7115,2499.7293,5182.96,9046.8033
55,13-09-2016,3615.934,2619.734,2835.1818,2083.9382,1699.3217,2505.1914,5182.96,9037.03
56,12-09-2016,3670.368,2660.568,2833.4376,2090.4713,1691.483,2498.9949,5182.96,8985.4452
57,09-09-2016,3617.277,2593.877,2798.9055,2078.1718,1658.2242,2492.8035,5210.16,9070.3874
58,08-09-2016,3708.21,2698.41,2806.0965,2097.919,1670.9096,2498.2622,5182.96,9003.17195
59,07-09-2016,3716.472,2693.072,2795.8761,2099.10135,1656.4919,2492.0759,5155.76,8935.9565
60,06-09-2016,3717.016,2707.216,2808.162,2100.2837,1673.1298,2497.5278,5155.76,8926.3277
61,02-09-2016,3705.966,2682.566,2820.0807,2095.3537,1675.8855,2491.3466,5155.76,8935.217
62,01-09-2016,3690.462,2680.662,2832.3054,2096.4366,1692.4809,2496.7934,5155.76,8933.88845
63,31-08-2016,3690.615,2694.415,2844.0711,2100.2701,1708.7227,2502.2334,5155.76,8932.5599
64,30-08-2016,3699.404,2689.604,2806.8921,2098.8251,1673.3848,2496.0573,5155.76,8939.6965
65,29-08-2016,3706.646,2683.246,2774.961,2097.1081,1642.1116,2489.8863,5155.76,8946.4727
66,26-08-2016,3687.368,2677.568,2793.4893,2097.5195,1663.5996,2495.3229,5155.76,8954.3335
67,25-08-2016,3693.199,2669.799,2772.6507,2095.556,1640.9301,2489.157,5155.76,8958.4475
